# Time (s), V_L (m^3), BOG (kg/s), Tv_avg (K), Q_V (W), BL (kg/s)
1.380000000000000000e+03, 1.878222162637585395e-03, 1.532733427928057609e-07, 2.398912178973753271e+02, 1.490459806256447806e-01, 1.500565784314514876e-07
1.440000000000000000e+03, 1.878296940258637011e-03, 1.531464221929994572e-07, 2.398972539906974362e+02, 1.490282507338651918e-01, 1.500886672191753581e-07
1.500000000000000000e+03, 1.878371714874361520e-03, 1.530460861386197480e-07, 2.399028655185670971e+02, 1.490116075590183220e-01, 1.501150253043454785e-07
1.560000000000000000e+03, 1.878446486690086214e-03, 1.529604888906632550e-07, 2.399081516706811783e+02, 1.489957972951450049e-01, 1.501462167728737198e-07
1.620000000000000000e+03, 1.878521255854327492e-03, 1.528780960901414100e-07, 2.399130717804641506e+02, 1.489809239320368239e-01, 1.501730378702742932e-07
1.680000000000000000e+03, 1.878596022491314972e-03, 1.528106471069571739e-07, 2.399177112599154782e+02, 1.489667689262864636e-01, 1.502045431672986923e-07
1.740000000000000000e+03, 1.878670786780638723e-03, 1.527358891945300297e-07, 2.399220453770348627e+02, 1.489533955064565596e-01, 1.502342386629941650e-07
1.800000000000000000e+03, 1.878745548905502239e-03, 1.526566195627746287e-07, 2.399260661296295609e+02, 1.489408241011216938e-01, 1.502582175647312532e-07
1.860000000000000000e+03, 1.878820309034329389e-03, 1.525799021675186016e-07, 2.399297885380875925e+02, 1.489290162456154420e-01, 1.502760482619766271e-07
1.920000000000000000e+03, 1.878895067310230524e-03, 1.525165802406953707e-07, 2.399332490609267552e+02, 1.489178786398813459e-01, 1.502905361938170367e-07
1.980000000000000000e+03, 1.878969823837336323e-03, 1.524728898369862225e-07, 2.399365104072713279e+02, 1.489072508430186459e-01, 1.503084016784505180e-07
2.040000000000000000e+03, 1.879044578673686730e-03, 1.524361297005237700e-07, 2.399396061931915654e+02, 1.488970468428476301e-01, 1.503323512756284139e-07
2.100000000000000000e+03, 1.879119331947265957e-03, 1.523903359670629167e-07, 2.399425077665299000e+02, 1.488873399045142210e-01, 1.503563206629707515e-07
2.160000000000000000e+03, 1.879194083778341516e-03, 1.523328346320786946e-07, 2.399451900273392653e+02, 1.488781942029407945e-01, 1.503748826758727518e-07
2.220000000000000000e+03, 1.879268834285721147e-03, 1.522764612889108792e-07, 2.399476406460260307e+02, 1.488696412452225337e-01, 1.503845579536025967e-07
2.280000000000000000e+03, 1.879343583580746777e-03, 1.522324850958925688e-07, 2.399499312986647510e+02, 1.488614976708579618e-01, 1.503940006730711634e-07
2.340000000000000000e+03, 1.879418331720877217e-03, 1.521994690921912041e-07, 2.399520651831735449e+02, 1.488537552798845365e-01, 1.504021722653578077e-07
2.400000000000000000e+03, 1.879493078760379821e-03, 1.521752749681106814e-07, 2.399541116292625134e+02, 1.488462367292318622e-01, 1.504175962743851341e-07
2.460000000000000000e+03, 1.879567824746021217e-03, 1.521435654604217779e-07, 2.399560105948899036e+02, 1.488390955729132492e-01, 1.504303754612923049e-07
2.520000000000000000e+03, 1.879642569752622196e-03, 1.521163150208581482e-07, 2.399577932047849345e+02, 1.488322521867377346e-01, 1.504437444924264600e-07
2.580000000000000000e+03, 1.879717313860158933e-03, 1.520858945525598144e-07, 2.399594512645097382e+02, 1.488257275123108236e-01, 1.504553917637427369e-07
2.640000000000000000e+03, 1.879792057135630566e-03, 1.520538764507683225e-07, 2.399609843533470723e+02, 1.488195226089092105e-01, 1.504641931506832456e-07
2.700000000000000000e+03, 1.879866799648598208e-03, 1.520229613643878580e-07, 2.399624002764199986e+02, 1.488136174982444548e-01, 1.504702718908210041e-07
2.760000000000000000e+03, 1.879941541456014130e-03, 1.519969644083892688e-07, 2.399637139085918420e+02, 1.488079741231980724e-01, 1.504748286253537449e-07
2.820000000000000000e+03, 1.880016282608406274e-03, 1.519806414124240851e-07, 2.399649485729441380e+02, 1.488025328236983746e-01, 1.504803344716948892e-07
2.880000000000000000e+03, 1.880091023089271347e-03, 1.519701615058955946e-07, 2.399661327097460628e+02, 1.487972208588816680e-01, 1.504900503536982368e-07
2.940000000000000000e+03, 1.880165762953003991e-03, 1.519540513793683075e-07, 2.399672475644493659e+02, 1.487920861825713370e-01, 1.505005360398454256e-07
3.000000000000000000e+03, 1.880240502254146295e-03, 1.519322322328570149e-07, 2.399682739043876722e+02, 1.487871779683257734e-01, 1.505083325317445204e-07
3.060000000000000000e+03, 1.880315241040759209e-03, 1.519136983970557824e-07, 2.399692130304702857e+02, 1.487824928775105526e-01, 1.505129662314994794e-07
3.120000000000000000e+03, 1.880389979422314190e-03, 1.518987868499444580e-07, 2.399701018946952900e+02, 1.487779364026707019e-01, 1.505191099926574168e-07
3.180000000000000000e+03, 1.880464717346542938e-03, 1.518771430976188200e-07, 2.399709160740553102e+02, 1.487735709931667927e-01, 1.505226926318694246e-07
3.240000000000000000e+03, 1.880539454817816737e-03, 1.518591889903596343e-07, 2.399716552350116672e+02, 1.487693974929717722e-01, 1.505231288498939516e-07
3.300000000000000000e+03, 1.880614191903505960e-03, 1.518519936808421481e-07, 2.399723602753444425e+02, 1.487653113119946080e-01, 1.505257707733275219e-07
3.360000000000000000e+03, 1.880688928598823204e-03, 1.518476242401226274e-07, 2.399730410567906631e+02, 1.487612872294270527e-01, 1.505315614071209696e-07
3.420000000000000000e+03, 1.880763664936892362e-03, 1.518407758198404838e-07, 2.399736858013263827e+02, 1.487573553579128460e-01, 1.505383771093895526e-07
3.480000000000000000e+03, 1.880838400944126118e-03, 1.518312259490827360e-07, 2.399742854868785003e+02, 1.487535387615693538e-01, 1.505445175302432576e-07
3.540000000000000000e+03, 1.880913136651410139e-03, 1.518196831864812455e-07, 2.399748371054439531e+02, 1.487498451254019582e-01, 1.505491701505417247e-07
3.600000000000000000e+03, 1.880987872079606642e-03, 1.518069078076869277e-07, 2.399753406626947765e+02, 1.487462744286109639e-01, 1.505519790548800194e-07
3.660000000000000000e+03, 1.881062607254260083e-03, 1.517943773692288154e-07, 2.399757997761458626e+02, 1.487428174153071492e-01, 1.505531289382935733e-07
3.720000000000000000e+03, 1.881137342189630754e-03, 1.517836499742479803e-07, 2.399762221265040409e+02, 1.487394544416930919e-01, 1.505534082115284089e-07
3.780000000000000000e+03, 1.881212076909941685e-03, 1.517764574371456693e-07, 2.399766159011974196e+02, 1.487361645693013601e-01, 1.505536984446734002e-07
3.840000000000000000e+03, 1.881286811419151947e-03, 1.517738307246530299e-07, 2.399769938297034173e+02, 1.487329152487559258e-01, 1.505555507344305284e-07
3.900000000000000000e+03, 1.881361545706771669e-03, 1.517748017149869564e-07, 2.399773610148170064e+02, 1.487296934322213104e-01, 1.505594423248326953e-07
3.960000000000000000e+03, 1.881436279853261227e-03, 1.517782062048160644e-07, 2.399777216036094671e+02, 1.487264885133409431e-01, 1.505657304123438176e-07
4.020000000000000000e+03, 1.881511013770697464e-03, 1.517712448577606208e-07, 2.399780716710397428e+02, 1.487233105288486568e-01, 1.505736321584212842e-07
4.080000000000000000e+03, 1.881585747518281070e-03, 1.517485568980271053e-07, 2.399783440260458747e+02, 1.487203312548364409e-01, 1.505733211808596470e-07
4.140000000000000000e+03, 1.881660481137172264e-03, 1.517340492301286540e-07, 2.399785612432910966e+02, 1.487174929679130897e-01, 1.505678364934411769e-07
4.200000000000000000e+03, 1.881735214615390178e-03, 1.517292091668347182e-07, 2.399787800240163733e+02, 1.487146507053017375e-01, 1.505651162881508107e-07
4.260000000000000000e+03, 1.881809947981463423e-03, 1.517263887415845677e-07, 2.399789846502642092e+02, 1.487118446486365986e-01, 1.505627420661474102e-07
4.320000000000000000e+03, 1.881884681209180545e-03, 1.517312944086763555e-07, 2.399792007773568514e+02, 1.487090092112664796e-01, 1.505642302878460795e-07
4.380000000000000000e+03, 1.881959414299444466e-03, 1.517365779403369135e-07, 2.399794256922668865e+02, 1.487061513300495796e-01, 1.505690460602112424e-07
4.440000000000000000e+03, 1.882034147264108120e-03, 1.517389277815703827e-07, 2.399796445972727099e+02, 1.487033088336921494e-01, 1.505749337556647789e-07
4.500000000000000000e+03, 1.882108880120734714e-03, 1.517381194775645476e-07, 2.399798485076296970e+02, 1.487005046886753223e-01, 1.505804790204258881e-07
4.560000000000000000e+03, 1.882183612877590638e-03, 1.517343036900839506e-07, 2.399800296888335822e+02, 1.486977586644104010e-01, 1.505844548907059654e-07
4.620000000000000000e+03, 1.882258345548873738e-03, 1.517283553743776153e-07, 2.399801873347415437e+02, 1.486950728184691928e-01, 1.505866343348743627e-07
4.680000000000000000e+03, 1.882333078139062201e-03, 1.517203907115584413e-07, 2.399803202537938489e+02, 1.486924501937909593e-01, 1.505867424921556173e-07
4.740000000000000000e+03, 1.882407810659775856e-03, 1.516991776546104022e-07, 2.399804299618389507e+02, 1.486898869123801648e-01, 1.505848990762077915e-07
4.800000000000000000e+03, 1.882482543174776417e-03, 1.516884124173149356e-07, 2.399804478591609609e+02, 1.486875583177219295e-01, 1.505711894774722899e-07
4.860000000000000000e+03, 1.882557275581009165e-03, 1.517062717655122455e-07, 2.399805750426495763e+02, 1.486849503850215803e-01, 1.505743264647404292e-07
4.920000000000000000e+03, 1.882632007922885407e-03, 1.517061737984052499e-07, 2.399806803618462254e+02, 1.486823983500079049e-01, 1.505754498914950806e-07
4.980000000000000000e+03, 1.882706740187593559e-03, 1.517093297523095715e-07, 2.399808002918484249e+02, 1.486798089805659862e-01, 1.505797092925138209e-07
5.040000000000000000e+03, 1.882781472384126211e-03, 1.517073665061328387e-07, 2.399808990591718612e+02, 1.486772737133541245e-01, 1.505819125382636992e-07
5.100000000000000000e+03, 1.882856204519660782e-03, 1.517078768369959752e-07, 2.399809942470548094e+02, 1.486747476044857352e-01, 1.505845132006434986e-07
5.160000000000000000e+03, 1.882930936597998917e-03, 1.517067186505948424e-07, 2.399810806008659938e+02, 1.486722440835819004e-01, 1.505866985065552031e-07
5.220000000000000000e+03, 1.883005668629252538e-03, 1.517041633075067903e-07, 2.399811559326277006e+02, 1.486697687413963687e-01, 1.505880988202110762e-07
5.280000000000000000e+03, 1.883080400616132149e-03, 1.517004328983006691e-07, 2.399812187939468231e+02, 1.486673252783405896e-01, 1.505884541289498117e-07
5.340000000000000000e+03, 1.883155132568069658e-03, 1.516961779796686891e-07, 2.399812698597552014e+02, 1.486649119676991537e-01, 1.505878119907142470e-07
5.400000000000000000e+03, 1.883229864486499249e-03, 1.516919051628149051e-07, 2.399813112628528415e+02, 1.486625233572130278e-01, 1.505864320182054657e-07
5.460000000000000000e+03, 1.883304596380408957e-03, 1.516881735047147927e-07, 2.399813451453005939e+02, 1.486601539710594722e-01, 1.505845781989929996e-07
5.520000000000000000e+03, 1.883379328249426467e-03, 1.516867483391647631e-07, 2.399813753926456741e+02, 1.486577938783225916e-01, 1.505827670901016683e-07
5.580000000000000000e+03, 1.883454060093125472e-03, 1.516894273556103614e-07, 2.399814115643804655e+02, 1.486554186483858842e-01, 1.505823306230870948e-07
5.640000000000000000e+03, 1.883528791888253737e-03, 1.516930266923651237e-07, 2.399814603141674354e+02, 1.486530112788441993e-01, 1.505841870662210990e-07
5.700000000000000000e+03, 1.883603523677759330e-03, 1.516940953347942281e-07, 2.399815068366077355e+02, 1.486506096053242520e-01, 1.505861833034752271e-07
5.760000000000000000e+03, 1.883678255402217346e-03, 1.516996586946034312e-07, 2.399815500772900805e+02, 1.486482163239043197e-01, 1.505881379264928885e-07
5.820000000000000000e+03, 1.883752987143960797e-03, 1.517050126962006899e-07, 2.399816180336486582e+02, 1.486457598859438067e-01, 1.505940329848085888e-07
5.880000000000000000e+03, 1.883827718810252884e-03, 1.517007712148815710e-07, 2.399816580621066748e+02, 1.486433748225760298e-01, 1.505963012577700333e-07
5.940000000000000000e+03, 1.883902450457213646e-03, 1.516982270904364529e-07, 2.399816873545039471e+02, 1.486410171974477112e-01, 1.505973805113427893e-07
6.000000000000000000e+03, 1.883977182084573552e-03, 1.516945715580568461e-07, 2.399817058598897006e+02, 1.486386871394986542e-01, 1.505972402869353545e-07
