# Time (s), V_L (m^3), BOG (kg/s), Tv_avg (K), Q_V (W), BL (kg/s)
0.000000000000000000e+00, 1.876500000000000130e-03, 1.474634233341841976e-07, 2.395725724633830112e+02, 1.499141607188755609e-01, 1.474634233341841976e-07
6.000000000000000000e+01, 1.877366756129577241e-03, 1.657575007962192096e-07, 2.395902923177952175e+02, 1.498421569221487504e-01, 1.479311183142079910e-07
1.200000000000000000e+02, 1.878233807811493681e-03, 1.659368100635253116e-07, 2.396054249178442603e+02, 1.497767792400495346e-01, 1.479994248156468595e-07
1.800000000000000000e+02, 1.879100995064669419e-03, 1.678540908752330805e-07, 2.396212083663352814e+02, 1.497097463778304660e-01, 1.483129101320801806e-07
2.400000000000000000e+02, 1.879967754624799463e-03, 1.692344076844144659e-07, 2.396458491779632141e+02, 1.496200889739872919e-01, 1.485391870361900063e-07
3.000000000000000000e+02, 1.880834498489003179e-03, 1.687753151338218142e-07, 2.396685004759902426e+02, 1.495355416135459026e-01, 1.487089074320446579e-07
3.600000000000000000e+02, 1.881701229095441132e-03, 1.683704163227712932e-07, 2.396894556104382445e+02, 1.494553515502686225e-01, 1.488504178563715815e-07
4.200000000000000000e+02, 1.882567948096781994e-03, 1.680060323119022665e-07, 2.397089034636535985e+02, 1.493790336220830739e-01, 1.489720414005109086e-07
4.800000000000000000e+02, 1.883434656724168339e-03, 1.676772914084347575e-07, 2.397270081908473287e+02, 1.493061662166756676e-01, 1.490814316496461184e-07
5.400000000000000000e+02, 1.884301355981062454e-03, 1.673854983543890490e-07, 2.397438852747722251e+02, 1.492364523931531961e-01, 1.491816455748420609e-07
6.000000000000000000e+02, 1.885168046481994035e-03, 1.671213145975391600e-07, 2.397596891189002690e+02, 1.491694960022561245e-01, 1.492829775371245791e-07
6.600000000000000000e+02, 1.886034728888584663e-03, 1.668574889369739164e-07, 2.397744194170027470e+02, 1.491052963402754727e-01, 1.493747647237854349e-07
7.200000000000000000e+02, 1.886901403842874579e-03, 1.666117162803291922e-07, 2.397881325802974857e+02, 1.490437078593843945e-01, 1.494553844935558551e-07
7.800000000000000000e+02, 1.887768071759666957e-03, 1.663890444262509567e-07, 2.398009430719288275e+02, 1.489844368956935727e-01, 1.495322885123182739e-07
8.400000000000000000e+02, 1.888634733151536155e-03, 1.661779715432546341e-07, 2.398128933832291239e+02, 1.489273737258077490e-01, 1.496032698853376459e-07
9.000000000000000000e+02, 1.889501388454025268e-03, 1.659814414251546295e-07, 2.398240431087815807e+02, 1.488723650513888996e-01, 1.496691481684142069e-07
9.600000000000000000e+02, 1.890368038062740803e-03, 1.657985385864847983e-07, 2.398344475602640955e+02, 1.488192686136630971e-01, 1.497306512780282786e-07
1.020000000000000000e+03, 1.891234682353393074e-03, 1.656283168934898596e-07, 2.398441567832005603e+02, 1.487679556918251877e-01, 1.497882310934879083e-07
1.080000000000000000e+03, 1.892101321667763805e-03, 1.654698721565259423e-07, 2.398532179699975586e+02, 1.487183049356922138e-01, 1.498423732284230037e-07
1.140000000000000000e+03, 1.892967956328361944e-03, 1.653222135494776130e-07, 2.398616730727693209e+02, 1.486702084474877672e-01, 1.498932232084591949e-07
1.200000000000000000e+03, 1.893834586645490922e-03, 1.651853354939909159e-07, 2.398695626745714549e+02, 1.486235618974917905e-01, 1.499411136567054831e-07
1.260000000000000000e+03, 1.894701212900716959e-03, 1.650576921644208898e-07, 2.398769268460664250e+02, 1.485782623371973976e-01, 1.499866619445712986e-07
1.320000000000000000e+03, 1.895567835357363272e-03, 1.649417238886870067e-07, 2.398837934280091986e+02, 1.485342380685166219e-01, 1.500290647304545257e-07
1.380000000000000000e+03, 1.896434454325881831e-03, 1.648324462749803854e-07, 2.398902218790485392e+02, 1.484913368555658975e-01, 1.500723711351508478e-07
1.440000000000000000e+03, 1.897301069935194680e-03, 1.647253120715384253e-07, 2.398961864209179851e+02, 1.484496237875854441e-01, 1.501086839734675428e-07
1.500000000000000000e+03, 1.898167682422554530e-03, 1.646258771259529903e-07, 2.399017664945718025e+02, 1.484088958187423091e-01, 1.501454887124897530e-07
1.560000000000000000e+03, 1.899034292033974875e-03, 1.645265385635760645e-07, 2.399069249133752635e+02, 1.483692471463510520e-01, 1.501737754817109819e-07
1.620000000000000000e+03, 1.899900898924659041e-03, 1.644413431893046739e-07, 2.399117495417736166e+02, 1.483304534028065114e-01, 1.502027381846906779e-07
1.680000000000000000e+03, 1.900767503283338870e-03, 1.643554188112883943e-07, 2.399162321697527318e+02, 1.482925350334419468e-01, 1.502279923769462161e-07
1.740000000000000000e+03, 1.901634105261824784e-03, 1.642772949803556588e-07, 2.399203982699216624e+02, 1.482554267121657110e-01, 1.502502023211813182e-07
1.800000000000000000e+03, 1.902500704994452034e-03, 1.642131276129801153e-07, 2.399242865212795834e+02, 1.482190295416851156e-01, 1.502721279683422743e-07
1.860000000000000000e+03, 1.903367302623686086e-03, 1.641584550967667539e-07, 2.399279427004541105e+02, 1.481832266304196066e-01, 1.502977356868447284e-07
1.920000000000000000e+03, 1.904233898343614742e-03, 1.641003259650068571e-07, 2.399313553355468969e+02, 1.481480468479431933e-01, 1.503229310909191964e-07
1.980000000000000000e+03, 1.905100492281674475e-03, 1.640384875674323172e-07, 2.399345174312549318e+02, 1.481135076555048224e-01, 1.503444211239067370e-07
