# Time (s), V_L (m^3), BOG (kg/s), Tv_avg (K), Q_V (W), BL (kg/s)
0.000000000000000000e+00, 1.876500000000000130e-03, 1.474634233341841976e-07, 2.395725724633830112e+02, 1.499141607188755609e-01, 1.474634233341841976e-07
6.000000000000000000e+01, 1.876926845021040669e-03, 1.593150288464681780e-07, 2.395902880713029504e+02, 1.498556958396807526e-01, 1.479284245347919884e-07
1.200000000000000000e+02, 1.877353986497856935e-03, 1.594972508762472946e-07, 2.396054340848766060e+02, 1.498038048653381749e-01, 1.480031576137513309e-07
1.800000000000000000e+02, 1.877781262693517788e-03, 1.614112516770277959e-07, 2.396212046209042796e+02, 1.497503186574103695e-01, 1.483127494151224321e-07
2.400000000000000000e+02, 1.878208111486571845e-03, 1.627958625088181175e-07, 2.396458542819788136e+02, 1.496741367415230228e-01, 1.485389731730645927e-07
3.000000000000000000e+02, 1.878634944627057685e-03, 1.623340579763608208e-07, 2.396685077574992704e+02, 1.496030728527063536e-01, 1.487075180879014355e-07
3.600000000000000000e+02, 1.879061764558725370e-03, 1.619270500137216036e-07, 2.396894559683147747e+02, 1.495363814258570123e-01, 1.488464348361181809e-07
4.200000000000000000e+02, 1.879488572939428228e-03, 1.615671969157763443e-07, 2.397089028763896295e+02, 1.494735395938770195e-01, 1.489660430268430125e-07
4.800000000000000000e+02, 1.879915370984342219e-03, 1.612586783898545884e-07, 2.397270340457713473e+02, 1.494140717380686711e-01, 1.490769734452011127e-07
5.400000000000000000e+02, 1.880342159607222528e-03, 1.609681977206046399e-07, 2.397440159599444769e+02, 1.493575512088252677e-01, 1.491895581523758134e-07
6.000000000000000000e+02, 1.880768939570541922e-03, 1.606689408620965961e-07, 2.397597765193479518e+02, 1.493041615688179002e-01, 1.492816711488502089e-07
6.600000000000000000e+02, 1.881195711536050785e-03, 1.604079340113450682e-07, 2.397744547410231633e+02, 1.492535465400885442e-01, 1.493625822683767558e-07
7.200000000000000000e+02, 1.881622476076937967e-03, 1.601737163430508228e-07, 2.397882023402914626e+02, 1.492053175081767546e-01, 1.494443052093781463e-07
7.800000000000000000e+02, 1.882049233665349878e-03, 1.599521853796061380e-07, 2.398010196951760236e+02, 1.491594728664179526e-01, 1.495179611284945474e-07
8.400000000000000000e+02, 1.882475984726219827e-03, 1.597554930802505535e-07, 2.398130278354672669e+02, 1.491157026108093919e-01, 1.495925896994259149e-07
9.000000000000000000e+02, 1.882902729702322754e-03, 1.595633360275844075e-07, 2.398242457779952588e+02, 1.490739575787828064e-01, 1.496632096762324049e-07
9.600000000000000000e+02, 1.883329469018353661e-03, 1.593771603078938125e-07, 2.398347039272170207e+02, 1.490341595224760340e-01, 1.497269910649027565e-07
1.020000000000000000e+03, 1.883756203064364905e-03, 1.592001759678157649e-07, 2.398444467622053935e+02, 1.489961942555647623e-01, 1.497835976258108447e-07
1.080000000000000000e+03, 1.884182932190626861e-03, 1.590347275158447424e-07, 2.398535258410107645e+02, 1.489599295445347971e-01, 1.498341501724882327e-07
1.140000000000000000e+03, 1.884609656727573778e-03, 1.588821670130287728e-07, 2.398619930307472146e+02, 1.489252324130568572e-01, 1.498802261968304081e-07
1.200000000000000000e+03, 1.885036376974313400e-03, 1.587462145137101495e-07, 2.398698986768445707e+02, 1.488919738198128673e-01, 1.499235696334784030e-07
1.260000000000000000e+03, 1.885463093181063109e-03, 1.586277444357651860e-07, 2.398773064876058356e+02, 1.488599906341118440e-01, 1.499681975159359307e-07
1.320000000000000000e+03, 1.885889805635894987e-03, 1.585139245236041910e-07, 2.398842482703252870e+02, 1.488292012665086983e-01, 1.500138925724983602e-07
1.380000000000000000e+03, 1.886316514537693129e-03, 1.584005022568258525e-07, 2.398907129481592335e+02, 1.487996336888807447e-01, 1.500546052252901167e-07
1.440000000000000000e+03, 1.886743220156277077e-03, 1.582964788873796051e-07, 2.398967430332314734e+02, 1.487711790018195757e-01, 1.500922548032668473e-07
1.500000000000000000e+03, 1.887169922753481870e-03, 1.581997775639017941e-07, 2.399023695363271713e+02, 1.487437577146068501e-01, 1.501273862892425101e-07
1.560000000000000000e+03, 1.887596622433164320e-03, 1.581093034889698499e-07, 2.399076194706401850e+02, 1.487173005766907474e-01, 1.501602273217981586e-07
