# Time (s), V_L (m^3), BOG (kg/s), Tv_avg (K), Q_V (W), BL (kg/s)
0.000000000000000000e+00, 1.876500000000000130e-03, 1.474634233341841976e-07, 2.395725724633830112e+02, 1.499141607188755609e-01, 1.474634233341841976e-07
6.000000000000000000e+01, 1.878686489332029828e-03, 1.850874698857945271e-07, 2.395903036988886186e+02, 1.498015436599923755e-01, 1.479385391470589295e-07
1.200000000000000000e+02, 1.880873271980590096e-03, 1.858956058536442600e-07, 2.396054055292108558e+02, 1.496956815631683424e-01, 1.480040955551693821e-07
1.800000000000000000e+02, 1.883060020713296298e-03, 1.878069233009348655e-07, 2.396249152274916412e+02, 1.495785895510449715e-01, 1.483739805289647791e-07
2.400000000000000000e+02, 1.885246510185992121e-03, 1.884763429647935254e-07, 2.396491873861465365e+02, 1.494493838693432275e-01, 1.485735955551976490e-07
3.000000000000000000e+02, 1.887432984348648901e-03, 1.880253838194331769e-07, 2.396715437008777769e+02, 1.493251265167103436e-01, 1.487359964824183255e-07
3.600000000000000000e+02, 1.889619445399151739e-03, 1.876269860031176557e-07, 2.396922406750812229e+02, 1.492051561372363944e-01, 1.488740387326839418e-07
4.200000000000000000e+02, 1.891805894921088282e-03, 1.872700096424189717e-07, 2.397114696796218709e+02, 1.490889787388736676e-01, 1.489963906891564927e-07
4.800000000000000000e+02, 1.893992334057673175e-03, 1.869459453063266572e-07, 2.397293711758898667e+02, 1.489762310444434912e-01, 1.491077662847437959e-07
5.400000000000000000e+02, 1.896178763706151587e-03, 1.866482712055378868e-07, 2.397460591408274979e+02, 1.488666179360767228e-01, 1.492113622929220602e-07
6.000000000000000000e+02, 1.898365184598822504e-03, 1.863758953542756499e-07, 2.397616171650062711e+02, 1.487599222418471701e-01, 1.493075684968319900e-07
6.600000000000000000e+02, 1.900551597431424534e-03, 1.861216544637110915e-07, 2.397761510807997922e+02, 1.486558705335455643e-01, 1.494011023203575502e-07
7.200000000000000000e+02, 1.902738002667337660e-03, 1.858803800626092571e-07, 2.397896744598073440e+02, 1.485544247231647963e-01, 1.494843108568023373e-07
7.800000000000000000e+02, 1.904924400831654006e-03, 1.856529145408091829e-07, 2.398023083112934728e+02, 1.484552734272366614e-01, 1.495657081357704118e-07
8.400000000000000000e+02, 1.907110792443180358e-03, 1.854271912501530638e-07, 2.398140209910289400e+02, 1.483584940425332066e-01, 1.496324894860384370e-07
9.000000000000000000e+02, 1.909297177879562980e-03, 1.852292163123998460e-07, 2.398249381692293412e+02, 1.482637639276045416e-01, 1.496950345789135441e-07
9.600000000000000000e+02, 1.911483557497715372e-03, 1.850564386604350170e-07, 2.398351216985030021e+02, 1.481709231714932740e-01, 1.497550618091537558e-07
1.020000000000000000e+03, 1.913669931703271179e-03, 1.848977236238326917e-07, 2.398446722653559959e+02, 1.480797135182708169e-01, 1.498203589706360208e-07
