# Time (s), V_L (m^3), BOG (kg/s), Tv_avg (K), Q_V (W), BL (kg/s)
0.000000000000000000e+00, 1.876500000000000130e-03, 1.474634233341841976e-07, 2.395725724633830112e+02, 1.499141607188755609e-01, 1.474634233341841976e-07
6.000000000000000000e+01, 1.876486934306522466e-03, 1.528724674129140239e-07, 2.395902898259852236e+02, 1.498692193885231283e-01, 1.479286460274214876e-07
1.200000000000000000e+02, 1.876474164951614154e-03, 1.530553761533534925e-07, 2.396054403886389821e+02, 1.498308378171638588e-01, 1.480051894807840319e-07
1.800000000000000000e+02, 1.876461530127323607e-03, 1.549691198687012654e-07, 2.396212032720578691e+02, 1.497908848146738969e-01, 1.483126527246862586e-07
2.400000000000000000e+02, 1.876448468154468929e-03, 1.563563898866497193e-07, 2.396458603229813775e+02, 1.497281821075750197e-01, 1.485385731996287684e-07
3.000000000000000000e+02, 1.876435390572574581e-03, 1.558915149400909659e-07, 2.396685130472461367e+02, 1.496706091784393844e-01, 1.487055549534122701e-07
3.600000000000000000e+02, 1.876422299835071254e-03, 1.554852260012340922e-07, 2.396894530568991684e+02, 1.496174196732548700e-01, 1.488417372721292686e-07
4.200000000000000000e+02, 1.876409197600767452e-03, 1.551358785447627031e-07, 2.397089136449697833e+02, 1.495680165101723746e-01, 1.489614524510409992e-07
4.800000000000000000e+02, 1.876396085005210346e-03, 1.548319091794276845e-07, 2.397270927206611191e+02, 1.495218931750177949e-01, 1.490770052986102130e-07
5.400000000000000000e+02, 1.876382963037162609e-03, 1.545190438359635560e-07, 2.397440830220295425e+02, 1.494788123182617667e-01, 1.491881692595559651e-07
6.000000000000000000e+02, 1.876369832553500660e-03, 1.542149854665949613e-07, 2.397597632117191608e+02, 1.494390844786261940e-01, 1.492657950241794344e-07
6.600000000000000000e+02, 1.876356694125668433e-03, 1.539881751455294868e-07, 2.397745033887387649e+02, 1.494017624625062768e-01, 1.493521681883822982e-07
7.200000000000000000e+02, 1.876343548163285314e-03, 1.537640668828042612e-07, 2.397883372152409720e+02, 1.493667601240600828e-01, 1.494424136578618879e-07
